iter	Logloss
0	0.6469152945
1	0.6100341656
2	0.5798762286
3	0.5508619944
4	0.5247717257
5	0.4999640783
6	0.4762588784
7	0.4615272593
8	0.4473673503
9	0.4327676914
10	0.4180071795
11	0.4043741933
12	0.3905364849
13	0.3772650825
14	0.3663538827
15	0.3536928671
16	0.3455936644
17	0.3380978196
18	0.329429132
19	0.3222781994
20	0.3148569884
21	0.309534638
22	0.3054080539
23	0.3005524035
24	0.2955146366
25	0.2905468588
26	0.2852144065
27	0.2812838731
28	0.2765429991
29	0.2732350032
30	0.2683648003
31	0.2638825664
32	0.260485914
33	0.2557886795
34	0.2516412382
35	0.2476216775
36	0.2444715323
37	0.2415702431
38	0.2379906442
39	0.2354003412
40	0.2324690642
41	0.2298207106
42	0.2273432414
43	0.2245374962
44	0.2221652667
45	0.2192542111
46	0.2167450234
47	0.2142030751
48	0.2121180075
49	0.2093683172
50	0.2066249318
51	0.2049887622
52	0.2033200441
53	0.2004469236
54	0.1981909893
55	0.1963392893
56	0.1941630046
57	0.1927253405
58	0.1911448726
59	0.1896980074
60	0.1883385623
61	0.1871753092
62	0.1849862381
63	0.1833748994
64	0.1820633853
65	0.1804739634
66	0.1792602009
67	0.1784097883
68	0.1764057477
69	0.1742968383
70	0.1733701847
71	0.1722055011
72	0.1716877266
73	0.1700930419
74	0.1690452364
75	0.1681493477
76	0.1663252159
77	0.1651617686
78	0.1643862548
79	0.164104444
80	0.1638323996
81	0.1624783057
82	0.160702882
83	0.159351967
84	0.1587519469
85	0.1584987817
86	0.1582817678
87	0.1572917832
88	0.1555847592
89	0.1540341201
90	0.1538268548
91	0.1524588267
92	0.1523883078
93	0.1512458589
94	0.1505844681
95	0.1503746951
96	0.1493647717
97	0.1487996137
98	0.1486198107
99	0.1472418308
