iter	Passed	Remaining
0	4	428
1	6	338
2	9	318
3	13	320
4	17	336
5	20	320
6	23	305
7	26	300
8	30	309
9	33	301
10	36	292
11	38	283
12	41	275
13	43	268
14	47	270
15	51	269
16	54	265
17	57	261
18	64	274
19	68	275
20	73	276
21	79	280
22	81	273
23	85	269
24	87	262
25	90	256
26	92	251
27	95	244
28	97	239
29	100	234
30	103	229
31	105	224
32	108	219
33	110	214
34	113	210
35	115	205
36	118	200
37	120	196
38	123	192
39	126	189
40	128	185
41	131	181
42	133	177
43	136	173
44	140	171
45	143	168
46	146	165
47	149	162
48	153	159
49	158	158
50	161	154
51	163	151
52	166	147
53	170	145
54	173	141
55	175	138
56	178	134
57	181	131
58	184	128
59	187	124
60	189	121
61	191	117
62	194	114
63	196	110
64	200	107
65	202	104
66	204	100
67	207	97
68	209	94
69	211	90
70	213	87
71	216	84
72	218	80
73	221	77
74	224	74
75	226	71
76	232	69
77	238	67
78	240	64
79	243	60
80	251	58
81	253	55
82	256	52
83	260	49
84	263	46
85	266	43
86	269	40
87	271	37
88	274	33
89	277	30
90	279	27
91	282	24
92	284	21
93	287	18
94	289	15
95	291	12
96	294	9
97	297	6
98	299	3
99	301	0
